officer_id,po_race,po_sex,po_assigned_unit,po_district_number,allegations_investigated,investigative_findings,disciplinary_findings,complaint_id,officer_complaint_id
40865117,white,male,3500 35TH DISTRICT,35,Verbal Abuse,No Sustained Findings,Not Applicable,15-0238,15-0238-40865117
35389978,white,male,3500 35TH DISTRICT,35,Verbal Abuse,No Sustained Findings,Not Applicable,15-0238,15-0238-35389978
73930189,white,male,3900 39TH DISTRICT,39,Physical Abuse,No Sustained Findings,Not Applicable,15-0239,15-0239-73930189
19265825,latino,male,3900 39TH DISTRICT,39,Physical Abuse,No Sustained Findings,Not Applicable,15-0239,15-0239-19265825
94374544,latino,male,9828 Criminal Intell Uni,,Departmental Violation,No Sustained Findings,Not Applicable,15-0240,15-0240-94374544
94374544,latino,male,9828 Criminal Intell Uni,,Verbal Abuse,Sustained Finding,Training/Counseling,15-0240,15-0240-94374544
74358484,black,male,9828 Criminal Intell Uni,,Departmental Violation,No Sustained Findings,Not Applicable,15-0240,15-0240-74358484
74358484,black,male,9828 Criminal Intell Uni,,Verbal Abuse,No Sustained Findings,Not Applicable,15-0240,15-0240-74358484
,,,,,Physical Abuse,No Sustained Findings,Not Applicable,15-0241,15-0241-
,,,,,Verbal Abuse,No Sustained Findings,Not Applicable,15-0241,15-0241-
,,,,,Lack of Service,No Sustained Findings,Not Applicable,15-0241,15-0241-
80639230,white,male,0200 02ND DISTRICT,2,No C.A.P. Investigation,Not Applicable,Not Applicable,15-0242,15-0242-80639230
30986863,black,male,0600 06TH DISTRICT,6,Departmental Violation,No Sustained Findings,Not Applicable,15-0243,15-0243-30986863
54917833,white,male,0600 06TH DISTRICT,6,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0244,15-0244-54917833
35878183,white,male,4500 CENTER CITY DISTRIC,,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0245,15-0245-35878183
22954484,white,male,0300 03RD DISTRICT,3,Departmental Violation,No Sustained Findings,Not Applicable,15-0246,15-0246-22954484
22954484,white,male,0300 03RD DISTRICT,3,Departmental Violation,Sustained Finding,Training/Counseling,15-0246,15-0246-22954484
60532190,black,female,0300 03RD DISTRICT,3,Departmental Violation,No Sustained Findings,Not Applicable,15-0246,15-0246-60532190
96382638,black,male,1800 18TH DISTRICT,18,Lack of Service,No Sustained Findings,Not Applicable,15-0247,15-0247-96382638
42606965,black,male,5300 HIGHWAY PATROL,,Unprofessional Conduct,No Sustained Findings,Not Applicable,15-0248,15-0248-42606965
32476884,white,male,0800 08TH DISTRICT,8,Physical Abuse,No Sustained Findings,Not Applicable,15-0249,15-0249-32476884
46167222,white,male,0800 08TH DISTRICT,8,Physical Abuse,No Sustained Findings,Not Applicable,15-0249,15-0249-46167222
94964029,white,male,6600 NORTHWEST DETECTIVE,,Departmental Violation,No Sustained Findings,Not Applicable,15-0250,15-0250-94964029
30677186,black,male,1700 17TH DISTRICT,17,Physical Abuse,No Sustained Findings,Not Applicable,15-0251,15-0251-30677186
97893258,black,male,1700 17TH DISTRICT,17,Physical Abuse,No Sustained Findings,Not Applicable,15-0251,15-0251-97893258
12759172,asian,male,1700 17TH DISTRICT,17,Civil Rights Complaint,No Sustained Findings,Not Applicable,15-0252,15-0252-12759172
